chembl_id,name,mw,logp
CHEMBL2,PRAZOSIN,383.41,1.78
CHEMBL3,NICOTINE,162.24,1.85
CHEMBL4,OFLOXACIN,361.37,1.54
CHEMBL5,NALIDIXIC ACID,232.24,1.42
CHEMBL6,INDOMETHACIN,357.79,3.93
CHEMBL403,SULBACTAM,233.24,-0.79
CHEMBL404,TAZOBACTAM,300.3,-1.52
CHEMBL8,CIPROFLOXACIN,331.35,1.58
CHEMBL9,NORFLOXACIN,319.34,1.27
CHEMBL6622,ISOSORBIDE DINITRATE,236.14,-1.06
CHEMBL6437,MIANSERIN,264.37,3.08
CHEMBL11,IMIPRAMINE,280.42,3.88
CHEMBL406,INDAPAMIDE,365.84,2.08
CHEMBL407,FLUMAZENIL,303.29,1.77
CHEMBL408,TROGLITAZONE,441.55,4.37
CHEMBL409,BICALUTAMIDE,430.38,2.88
CHEMBL12,DIAZEPAM,284.75,3.15
CHEMBL13,METOPROLOL,267.37,1.61
CHEMBL411,DIETHYLSTILBESTROL,268.36,4.83
CHEMBL267936,MECAMYLAMINE,167.3,2.42
CHEMBL14,CARBACHOL,182.65,-0.21
CHEMBL16,PHENYTOIN,252.27,1.77
CHEMBL415,CLOMIPRAMINE,314.86,4.53
CHEMBL416,METHOXSALEN,216.19,2.55
CHEMBL17,DICHLORPHENAMIDE,305.16,0.29
CHEMBL18,ETHOXZOLAMIDE,258.32,1.34
CHEMBL19,METHAZOLAMIDE,236.28,-1.42
CHEMBL20,ACETAZOLAMIDE,222.25,-0.86
CHEMBL419,MAFENIDE,186.24,-0.21
CHEMBL21,SULFANILAMIDE,172.21,-0.08
CHEMBL420,GUANABENZ,231.09,1.81
CHEMBL22,TRIMETHOPRIM,290.32,1.26
CHEMBL421,SULFASALAZINE,398.4,3.7
CHEMBL23,DILTIAZEM,414.53,3.37
CHEMBL24,ATENOLOL,266.34,0.45
CHEMBL25,ASPIRIN,180.16,1.31
CHEMBL422,TRIFLUOPERAZINE,407.51,4.95
CHEMBL423,BETAXOLOL,307.43,2.39
CHEMBL425,OLSALAZINE,302.24,2.91
CHEMBL27,PROPRANOLOL,259.35,2.58
CHEMBL6995,PRACTOLOL,266.34,1.38
CHEMBL427,MECHLORETHAMINE,156.06,1.4
CHEMBL29,PENICILLIN G,334.4,0.86
CHEMBL428,TROVAFLOXACIN,416.36,1.89
CHEMBL30,CIMETIDINE,252.35,0.6
CHEMBL31,GATIFLOXACIN,375.4,1.98
CHEMBL429,LABETALOL,328.41,2.14
CHEMBL32,MOXIFLOXACIN,401.44,2.37
CHEMBL33,LEVOFLOXACIN ANHYDROUS,361.37,1.54
CHEMBL430,GEMIFLOXACIN,389.39,0.97
CHEMBL431,SPIRAPRIL,466.63,2.39
CHEMBL433,VALPROATE SODIUM,166.2,2.29
CHEMBL434,ISOPROTERENOL,211.26,1.13
CHEMBL435,HYDROCHLOROTHIAZIDE,297.75,-0.35
CHEMBL35,FUROSEMIDE,330.75,1.89
CHEMBL36,PYRIMETHAMINE,248.72,2.52
CHEMBL436,TOLRESTAT,357.35,3.56
CHEMBL437,SULFATHIAZOLE,255.32,1.53
CHEMBL438,SULFAMERAZINE,264.31,1.17
CHEMBL439,SULFADIAZINE,250.28,0.86
CHEMBL440,THIAMYLAL,254.35,1.52
CHEMBL441,THIOPENTAL,242.34,1.35
CHEMBL268164,CYCLOBARBITAL,236.27,1.25
CHEMBL7413,METHOHEXITAL,262.31,1.31
CHEMBL40,PHENOBARBITAL,232.24,0.7
CHEMBL41,FLUOXETINE,309.33,4.44
CHEMBL443,SULFAMETHOXAZOLE,253.28,1.37
CHEMBL42,CLOZAPINE,326.83,3.72
CHEMBL445,NORTRIPTYLINE,263.38,3.83
CHEMBL446,SULFAMETHAZINE,278.34,1.48
CHEMBL447,SECOBARBITAL,238.29,1.35
CHEMBL448,PENTOBARBITAL,226.28,1.18
CHEMBL267894,AMOBARBITAL,226.28,1.18
CHEMBL7728,HEXOBARBITAL,236.27,1.2
CHEMBL449,BUTABARBITAL,212.25,0.79
CHEMBL7863,APROBARBITAL,210.23,0.57
CHEMBL450,METHARBITAL,198.22,0.5
CHEMBL451,CHLORDIAZEPOXIDE,299.76,2.95
CHEMBL266349,MELAGATRAN,429.52,0.81
CHEMBL452,CLONAZEPAM,315.72,3.04
CHEMBL453,SULFISOXAZOLE,267.31,1.67
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,280.31,0.87
CHEMBL454,BUTALBITAL,224.26,0.96
CHEMBL455,SULFACETAMIDE,214.25,0.09
CHEMBL43,AMSACRINE,393.47,4.51
CHEMBL456,ETHACRYNIC ACID,303.14,3.61
CHEMBL267744,TICRYNAFEN,331.18,3.75
CHEMBL457,GEMFIBROZIL,250.34,3.57
CHEMBL45,MELATONIN,232.28,1.86
CHEMBL46,ONDANSETRON,293.37,3.13
CHEMBL49,BUSPIRONE,385.51,2.09
CHEMBL459,METHYLDOPA,211.22,0.44
CHEMBL460,MOLINDONE,276.38,1.96
CHEMBL53,APOMORPHINE,267.33,2.85
CHEMBL54,HALOPERIDOL,375.87,4.43
CHEMBL55,PENTAMIDINE,340.43,2.88
CHEMBL463,AMINOHIPPURIC ACID,194.19,0.08
CHEMBL57,NEVIRAPINE,266.3,2.65
CHEMBL59,DOPAMINE,153.18,0.6
CHEMBL61,PODOFILOX,414.41,2.41
