Unnamed: 0,chembl_id,best_affinity_kcal_mol,name,molecular_weight,logp
1,CHEMBL11,-8.5,IMIPRAMINE,280.42,3.88
2,CHEMBL408,-8.5,TROGLITAZONE,441.55,4.37
3,CHEMBL4,-7.8,OFLOXACIN,361.37,1.54
4,CHEMBL12,-7.8,DIAZEPAM,284.75,3.15
5,CHEMBL406,-7.5,INDAPAMIDE,365.84,2.08
6,CHEMBL2,-7.4,PRAZOSIN,383.41,1.78
7,CHEMBL5,-7.3,NALIDIXIC ACID,232.24,1.42
8,CHEMBL6437,-7.3,MIANSERIN,264.37,3.08
9,CHEMBL6,-7.0,INDOMETHACIN,357.79,3.93
10,CHEMBL407,-6.7,FLUMAZENIL,303.29,1.77
11,CHEMBL409,-6.6,BICALUTAMIDE,430.38,2.88
12,CHEMBL8,-6.5,CIPROFLOXACIN,331.35,1.58
13,CHEMBL404,-6.4,TAZOBACTAM,300.3,-1.52
14,CHEMBL6622,-6.4,ISOSORBIDE DINITRATE,236.14,-1.06
15,CHEMBL403,-6.4,SULBACTAM,233.24,-0.79
16,CHEMBL267936,-6.2,MECAMYLAMINE,167.3,2.42
17,CHEMBL411,-6.1,DIETHYLSTILBESTROL,268.36,4.83
18,CHEMBL9,-6.1,NORFLOXACIN,319.34,1.27
19,CHEMBL3,-5.9,NICOTINE,162.24,1.85
20,CHEMBL13,-5.6,METOPROLOL,267.37,1.61
